,Id Institución,Institución
0,3,Universidad de chile
17,4,Pontificia universidad católica de chile
34,8,Universidad de la frontera
51,9,Universidad austral de chile
68,13,Universidad de valparaíso
85,16,Universidad de concepción
102,18,Universidad metropolitana de ciencias de la educación
119,39,Universidad de santiago de chile
136,41,Universidad de talca
153,43,Pontificia universidad católica de valparaíso
170,44,Universidad católica del norte
187,68,Universidad de los lagos
204,83,Universidad de magallanes
221,85,Universidad de antofagasta
238,109,Universidad católica de temuco
255,129,Universidad católica de la santísima concepción
272,170,Universidad del bío bío
289,179,"Universidad de los andes, chile"
306,196,Universidad de tarapacá
324,249,Universidad tecnológica metropolitana
341,250,Universidad mayor
358,269,Universidad de la serena
375,271,Universidad santo tomás
392,310,Universidad técnica federico santa maría
409,1187,Univ pedro valdivia
423,1192,Universidad del desarrollo
440,1228,Universidad de atacama
457,1246,Universidad adolfo ibáñez
474,1269,Universidad nacional andrés bello
491,1277,Universidad autónoma de chile
508,1278,Universidad diego portales
525,1313,Universidad de playa ancha
542,1314,Univ gabriela mistral
557,1332,Universidad católica del maule
574,1376,Universidad de o`higgins
583,1385,Universidad alberto hurtado
600,1396,Universidad bernardo o'higgins
615,1689,Universidad san sebastián
632,1709,Universidad finis terrae
649,1768,Universidad arturo prat
666,2049,Universidad internacional sek
680,2062,Universidad tecnológica de chile
696,2096,Universidad central de chile
713,2343,Universidad de aysen
721,2387,Universidad de viña del mar
738,3062,"Universidad de las américas, chile"
755,3203,Universidad academia de humanismo cristiano
772,3708,Universidad del mar
785,4539,Universidad la república
793,5563,Universidad del pacífico
800,6082,Universidad chileno-británica de cultura
805,6490,Universidad adventista de chile
820,10827,Universidad iberoamericana de ciencias y tecnología
833,24847,Univ ciencias educ uniacc
834,28746,Universidad de aconcagua
843,50361,Universidad católica silva henríquez
860,54755,Universidad bolivariana
872,72881,Universidad nacional de las artes y ciencias sociales (arcis)
